PremiseCode,PremiseDescription
946,Mta - Expo Line - Expo/Western
947,Mta - Expo Line - Expo/Crenshaw
948,Mta - Expo Line - Farmdale
949,Mta - Expo Line - Expo/La Brea
950,Mta - Expo Line - La Cienega/Jefferson
951,Mta - Expo Line - Palms
952,Mta - Expo Line - Westwood/Rancho Park
953,Mta - Expo Line - Expo/Sepulveda
954,Mta - Expo Line - Expo/Bundy
956,Mta - Green Line - Avalon
957,Mta - Green Line - Harbor Fwy
958,Mta - Green Line - Aviation/Lax
961,Mta - Gold Line - Indiana
962,Mta - Gold Line - Soto
963,Mta - Gold Line - Mariachi Plaza
964,Mta - Gold Line - Pico/Aliso
965,Mta - Gold Line - Little Tokyo/Arts District
966,Mta - Gold Line - Union Station
967,Mta - Gold Line - Chinatown
968,Mta - Gold Line - Lincoln/Cypress
969,Mta - Gold Line - Heritage Sq
970,Mta - Gold Line - Southwest Museum
971,Mta - Gold Line - Highland Park
972,Unknown
973,Unknown
974,Unknown
975,Unknown
976,Unknown
